titre,réalisateur(s),année de production,nationalité2,année de dernière diffusion,nb. de diffusions,dont en première partie de soirée,nb. moyen de diffusions par an
MALHEURS D'ALFRED (LES),RICHARD Pierre,1971,France,2016,27,13,0.7
MARGINAL (LE),DERAY Jacques,1983,France,2019,27,19,0.9
MUHAMMAD ALI THE GREATEST,KLEIN William,1974,France,2019,27,5,1.3
OURS (L'),ANNAUD Jean-Jacques,1987,France,2019,27,17,1.0
PETIT MONDE DE DON CAMILLO (LE),DUVIVIER Julien,1951,France,2019,27,6,0.5
QUATRE MARIAGES ET UN ENTERREMENT,NEWELL Mike,1994,Europe,2019,27,20,1.2
RAMBO,KOTCHEFF Ted,1982,Etats-Unis,2019,27,11,0.9
RETOUR DE DON CAMILLO (LE),DUVIVIER Julien,1952,France,2019,27,6,0.5
TOUR DU MONDE EN 80 JOURS (LE),CORACI Frank,2004,Europe,2019,27,19,2.5
UNION SACREE (L'),ARCADY Alexandre,1988,France,2018,27,22,1.0
VIAGER (LE),TCHERNIA Pierre,1971,France,2019,27,18,0.6
VIENS CHEZ MOI. J'HABITE CHEZ UNE COPINE,LECONTE Patrice,1980,France,2017,27,20,0.8
ALI BABA ET LES QUARANTE VOLEURS,BECKER Jacques,1954,France,2018,26,10,0.4
ANGELIQUE ET LE ROY,BORDERIE Bernard,1965,France,2019,26,15,0.6
ANGELIQUE ET LE SULTAN,BORDERIE Bernard,1967,France,2019,26,13,0.6
AVENTURES DE ROBIN DES BOIS (LES),CURTIZ Michael / KEIGHLEY William,1938,Etats-Unis,2016,26,7,0.6
AVENTURIERS (LES),ENRICO Robert,1966,France,2018,26,8,0.6
CENT MILLE DOLLARS AU SOLEIL,VERNEUIL Henri,1963,France,2017,26,10,0.6
CHAOS,GIGLIO Tony,2004,Europe,2019,26,15,2.6
CRIME DE L'ORIENT-EXPRESS (LE),LUMET Sidney,1974,Europe,2018,26,14,0.7
CRISE (LA),SERREAU Coline,1992,France,2019,26,16,1.1
CROCODILE DUNDEE 2,CORNELL John,1988,autres nationalités,2018,26,14,1.0
DON CAMILLO EN RUSSIE,COMENCINI Luigi,1965,France,2019,26,5,0.6
ETUDIANTE (L'),PINOTEAU Claude,1988,France,2019,26,11,0.9
FRENCH CANCAN,RENOIR Jean,1954,France,2017,26,6,0.5
GHOST,ZUCKER Jerry,1990,Etats-Unis,2019,26,18,1.0
HEROINES,KRAWCZYK Gérard,1996,France,2019,26,4,1.4
INDOMPTABLE ANGELIQUE,BORDERIE Bernard,1967,France,2019,26,13,0.6
J'AI FAIM !!!,QUENTIN Florence,2000,France,2019,26,20,1.7
JAMES BOND 007 CONTRE DOCTEUR NO,YOUNG Terence,1962,Europe,2019,26,14,0.8
JEUNES ANNEES D'UNE REINE (LES),MARISCHKA Ernst,1955,Europe,2019,26,7,0.5
JOUET (LE),VEBER Francis,1976,France,2017,26,13,0.7
MAIGRET ET L'AFFAIRE SAINT FIACRE,DELANNOY Jean,1959,France,2018,26,7,0.5
MEN IN BLACK,SONNENFELD Barry,1997,Etats-Unis,2019,26,17,1.4
MERVEILLEUSE ANGELIQUE,BORDERIE Bernard,1964,France,2019,26,10,0.6
MONDE PERDU (LE),SPIELBERG Steven,1997,Etats-Unis,2019,26,16,1.4
PEUR SUR LA VILLE,VERNEUIL Henri,1974,France,2017,26,14,0.8
PIEGE DE CRISTAL,MacTIERNAN John,1987,Etats-Unis,2019,26,16,1.0
PISCINE (LA),DERAY Jacques,1968,France,2018,26,11,0.6
POUR UNE POIGNEE DE DOLLARS,LEONE Sergio,1964,Europe,2019,26,17,0.8
RAZZIA SUR LA CHNOUF,DECOIN Henri,1954,France,2016,26,9,0.7
SAMOURAI (LE),MELVILLE Jean-Pierre,1967,France,2018,26,5,0.6
SOLITAIRE (LE),DERAY Jacques,1986,France,2017,26,19,1.0
STALINGRAD,ANNAUD Jean-Jacques,2001,Europe,2017,26,16,2.0
TARZAN ET LA CITE PERDUE,SCHENKEL Carl,1998,Europe,2015,26,20,1.7
VALSEUSES (LES),BLIER Bertrand,1973,France,2019,26,13,0.8
VILAINE,BENES Jean-Patrick / MAUDUIT Allan,2007,France,2019,26,22,3.3
X-MEN 2,SINGER Bryan,2002,Etats-Unis,2019,26,17,2.0
XXX,COHEN Rob,2001,Etats-Unis,2016,26,19,3.3
